Issue,Severity,Areas,Filename,Assembly,Descriptor,Ignored
"'System.Action`1<System.Int32>' allocation","Info","Memory","UIManager.cs:53","Assembly-CSharp","Object Allocation","False"
"'System.Action`1<Player>' allocation","Info","Memory","UIManager.cs:54","Assembly-CSharp","Object Allocation","False"
"'System.Action`1<Player>' allocation","Info","Memory","UIManager.cs:55","Assembly-CSharp","Object Allocation","False"
"'System.Action`1<Player>' allocation","Info","Memory","UIManager.cs:56","Assembly-CSharp","Object Allocation","False"
"'System.Action`1<Player>' allocation","Info","Memory","UIManager.cs:57","Assembly-CSharp","Object Allocation","False"
"'System.Action`1<System.Int32>' allocation","Info","Memory","UIManager.cs:62","Assembly-CSharp","Object Allocation","False"
"'System.Action`1<Player>' allocation","Info","Memory","UIManager.cs:63","Assembly-CSharp","Object Allocation","False"
"'System.Action`1<Player>' allocation","Info","Memory","UIManager.cs:64","Assembly-CSharp","Object Allocation","False"
"'System.Action`1<Player>' allocation","Info","Memory","UIManager.cs:65","Assembly-CSharp","Object Allocation","False"
"'System.Action`1<Player>' allocation","Info","Memory","UIManager.cs:66","Assembly-CSharp","Object Allocation","False"
"Closure allocation in 'UIManager.ShowSpawnButtons'","Moderate","Memory","UIManager.cs:0","Assembly-CSharp","Closure Allocation","False"
"Closure allocation in 'UIManager.ShowSpawnButtons'","Moderate","Memory","UIManager.cs:0","Assembly-CSharp","Closure Allocation","False"
"'UnityEngine.Object.Instantiate<UnityEngine.GameObject>' usage","Major","CPU, Memory","UIManager.cs:76","Assembly-CSharp","UnityEngine.Object.Instantiate","False"
"'UnityEngine.Object.name' usage","Major","Memory","UIManager.cs:80","Assembly-CSharp","UnityEngine.Object.name","False"
"'System.String.Concat' usage","Moderate","Memory","UIManager.cs:80","Assembly-CSharp","System.String.Concat","False"
"'UnityEngine.Events.UnityAction' allocation","Moderate","Memory","UIManager.cs:82","Assembly-CSharp","Object Allocation","False"
"Conversion from value type 'Int32' to ref type","Major","Memory","UIManager.cs:87","Assembly-CSharp","Boxing Allocation","False"
